Guide	Gene	AP2_i10	BR1_i12	BR3_i25	BR4_i14	m1_aav_i15
Rnase4_-_51091157.23-P2	Rnase4_P2	2292	2482	1949	2252	3714
Smpd1_-_105554477.23-P1P2	Smpd1	1271	1067	1191	1345	1538
Ptk7_-_46629279.23-P1P2	Ptk7	2069	2238	2431	1812	3257
Slc25a18_+_120773647.23-P1P2	Slc25a18	1317	1474	1238	1490	2350
Clps_-_28560658.23-P1P2	Clps	417	714	443	547	862
Prx_-_27499365.23-P1	Prx_P1	2254	2040	2556	2857	4109
Kif3b_+_153291478.23-P1P2	Kif3b	2360	2236	2413	2694	3383
Ngb_-_87102284.23-P1P2	Ngb	0	0	0	3	8
Map4k1_+_28982891.23-P1P2	Map4k1	1176	1217	1063	1248	1982
Car11_+_45701216.23-P1	Car11_P1	1636	1774	1300	2024	2714
Plod1_-_147936681.23-P1P2	Plod1	3274	3540	2914	3228	5359
Abcc9_-_142702184.23-P1P2	Abcc9	1551	2372	1941	1979	3745
Mast1_-_84937364.23-P1P2	Mast1	293	534	439	532	811
Dyrk3_-_131138182.23-P1P2	Dyrk3	855	1179	1020	948	1730
Gatm_+_122611007.23-P1P2	Gatm	1207	1430	1305	1541	2758
Rxra_-_27677270.23-P1P2	Rxra	1042	531	814	915	1514
Scyl1_+_5771341.23-P1P2	Scyl1	2096	1800	1813	1690	3129
Abcc2_-_43782406.23-P1P2	Abcc2	2291	2437	2124	1926	4169
Rpl11_+_136053338.23-P1P2	Rpl11	355	824	681	682	1151
Pmp2_-_10196986.23-P1P2	Pmp2	158	235	123	137	188
Ppcdc_-_57440002.23-P1P2	Ppcdc	2039	2001	1878	1989	3279
Chrna7_-_63212147.23-P1P2	Chrna7	1705	2141	2020	2234	3734
Pgk1_-_106187162.23-P1P2	Pgk1	1511	1430	1857	1711	2646
Pak1_+_97842936.23-P1P2	Pak1	2412	2160	2174	2701	3856
Dars_-_128417286.23-P1P2	Dars	1530	1427	1671	1715	3251
Caml_-_55622892.23-P1P2	Caml	1053	986	790	1265	2266
Pim2_+_7878529.23-P1P2	Pim2	2272	1991	2653	2197	2795
Ifngr2_-_91561425.23-P2	Ifngr2_P2	2450	2306	2221	2450	4084
Dusp23_+_172632984.23-P1P2	Dusp23	1236	1289	1843	1565	2408
Il2rb_-_78495003.23-P1P2	Il2rb	2608	2989	2719	3033	5158
Gch1_-_47189301.23-P1P2	Gch1	941	1129	898	1030	1713
Adck5_+_76576474.23-P1P2	Adck5	2551	3086	2865	2851	4973
Cfl1_-_5490730.23-P1P2	Cfl1	1040	883	1076	1155	1930
C8g_-_25500278.23-P1P2	C8g	2273	2219	2518	2592	4227
Ick_-_78113361.23-P1	Ick_P1	973	534	629	631	1137
Nmral1_-_4719087.23-P1P2	Nmral1	173	196	214	118	334
Ass1_+_31470300.23-P1P2	Ass1	2029	1687	1642	2084	3456
Prosc_-_27042781.23-P1P2	Prosc	2643	2918	2663	2547	4873
Ppp1r7_+_93343864.23-P1P2	Ppp1r7	173	117	272	248	378
Mbl2_+_30232993.23-P1P2	Mbl2	1182	1387	1399	1394	2584
Ptk2_-_73423058.23-P1P2	Ptk2	2543	2591	2378	2799	3863
Akr1b8_+_34354398.23-P1P2	Akr1b8	217	153	238	252	593
Aprt_-_122576784.23-P1P2	Aprt	2255	2724	2298	2180	3463
Canx_+_50325584.23-P1P2	Canx	1312	1081	1185	1354	2149
Isyna1_+_70594529.23-P1P2	Isyna1	3048	2947	3042	2406	4455
Aurkc_+_6995542.23-P1P2	Aurkc	1018	757	862	912	1715
Irgc1_-_24445555.23-P2	Irgc1_P2	1077	844	717	738	1310
Hdc_+_126618572.23-P1P2	Hdc	3012	2432	2573	2978	5467
Canx_+_50325599.23-P1P2	Canx	77	188	340	188	409
Ephb4_+_137350176.23-P1P2	Ephb4	1499	1118	1687	1593	2634
Npy2r_-_82548035.23-P1P2	Npy2r	2668	2459	2217	2621	4322
Gstt2_+_75834367.23-P1P2	Gstt2	2906	3278	2857	3222	5293
Arpc1b_+_145114292.23-P1P2	Arpc1b	3800	4451	4152	4580	7555
Suclg1_-_73248902.23-P1	Suclg1_P1	2899	2903	3060	3109	4651
Prss8_-_127930049.23-P1P2	Prss8	1768	2049	1695	1886	3043
Nlk_-_78697430.23-P1P2	Nlk	1309	1507	1129	1372	2191
Tex14_-_87405113.23-P1P2	Tex14	970	1294	860	1236	1768
Dcxr_+_120727039.23-P1P2	Dcxr	2796	2505	2216	2518	4184
Cib2_+_54559966.23-P1P2	Cib2	3159	3328	2420	3541	5640
Mst1r_-_107906934.23-P1P2	Mst1r	1955	1873	1593	1919	2808
Mmp20_+_7628337.23-P1P2	Mmp20	520	811	445	588	1082
Ctsl_-_64370294.23-P1P2	Ctsl	2072	2075	1961	2120	3419
Ppme1_+_100371902.23-P1P2	Ppme1	1658	2004	1556	1803	2814
Nnmt_+_48604954.23-P1P2	Nnmt	2283	2311	2331	2561	4362
Pim2_+_7878348.23-P1P2	Pim2	2424	1822	2074	2346	3415
Fyn_-_39369823.23-P1P2	Fyn	875	872	565	704	1152
Ptpn22_+_103860369.23-P1P2	Ptpn22	3936	2904	4534	4011	7423
Serpinb6a_+_33935905.23-P1P2	Serpinb6a	772	813	479	560	1142
Cacnb1_+_98022574.23-P1	Cacnb1_P1	2318	3327	2229	2542	3813
Trib1_+_59648943.23-P1P2	Trib1	573	521	467	544	874
Mapk8_-_33447053.23-P1P2	Mapk8	1790	1662	1583	2059	3273
Mmab_-_114443964.23-P1P2	Mmab	1965	1813	1664	1909	3040
Oplah_-_76307179.23-P1P2	Oplah	1800	1934	2190	2130	3297
Csnk2b_-_35121236.23-P1P2	Csnk2b	2267	2407	2292	2485	3897
Me3_+_89633011.23-P1P2	Me3	2023	2069	1953	1972	2954
F2r_-_95618460.23-P1P2	F2r	2686	3622	2657	2886	4783
Trp53rk_-_166792576.23-P2	Trp53rk_P2	1772	2248	1647	1997	3632
Stk32c_+_139213308.23-P2	Stk32c_P2	985	754	671	727	1091
Itga2b_-_102469633.23-P1P2	Itga2b	2303	3130	2418	2430	3963
Asrgl1_+_9135537.23-P1P2	Asrgl1	2602	2109	2128	2236	4354
Ly96_-_16688477.23-P1P2	Ly96	2069	1953	1649	1977	3543
Cs_+_128337808.23-P1P2	Cs	624	895	495	622	1153
Slk_-_47579677.23-P1P2	Slk	1639	2328	1490	1728	2904
C4b_+_34743605.23-P1P2	C4b	848	1165	1003	1084	1498
Ip6k2_-_108796011.23-P2	Ip6k2_P2	2779	3306	2894	3088	5361
Pdf_+_107048561.23-P1P2	Pdf	868	1135	1224	1249	1772
Mocos_+_24653881.23-P1P2	Mocos	919	1162	933	1341	1959
Skp1a_+_52232087.23-P1P2	Skp1a	204	439	221	523	647
Amy1_+_113574743.23-P2	Amy1_P2	2051	1804	1953	2408	3784
Hipk2_-_38876182.23-P1P2	Hipk2	1042	1714	1357	1180	2133
Strada_+_106193510.23-P1P2	Strada	567	504	563	734	1144
Pacsin1_-_27685269.23-P2	Pacsin1_P2	2277	2774	2301	2515	3778
