gene	fold_change	log_fold_change	score_low	pvalue_low	fdr_low	score_high	pvalue_high	fdr_high	pvalue	fdr	phenotype_score
PDPR	1.0725213551839181e0	1.0100637379588075e-1	7.86323512059485e-1	8.337771524507879e-1	1e0	4.524590576991342e-1	6.1544404210599e-1	1e0	6.1544404210599e-1	1e0	2.129329791790543e-2
CDK3	8.57710987947931e0	3.1004916028592815e0	1e0	1e0	1e0	1.7983376291912743e-4	9.451836634282977e-4	1.1789422801936887e-1	9.451836634282977e-4	1.1789422801936887e-1	9.377386604199177e0
BGLAP	1.036794974513934e0	5.21306304133033e-2	1e0	1e0	1e0	2.8133832686966728e-2	8.118221328349899e-2	9.511387520986098e-1	8.118221328349899e-2	9.511387520986098e-1	5.6850491431156155e-2
KSR2	9.823664658100082e-1	-2.566678136507858e-2	1.4610466810115655e-1	2.910863569859431e-1	1e0	1e0	1e0	1e0	2.910863569859431e-1	1e0	-1.3756833971024826e-2
STK11	9.569549537345102e-1	-6.347707984521839e-2	2.0351877237503235e-3	9.607209291284889e-3	4.973311868888496e-1	9.397460344421185e-1	9.446441750359299e-1	1e0	9.607209291284889e-3	4.973311868888496e-1	-1.2805883532554918e-1
MGST2	9.725098458493011e-1	-4.0215238633206106e-2	7.670558675548012e-2	1.733397784213275e-1	9.766934590821391e-1	1e0	1e0	1e0	1.733397784213275e-1	9.766934590821391e-1	-3.0607889020243726e-2
LSM6	9.382637101454375e-1	-9.193462859811141e-2	1.575426284927294e-1	3.09843289411785e-1	1e0	9.729455233535601e-2	2.0708585634071497e-1	1e0	2.0708585634071497e-1	1e0	-6.286945547810108e-2
HRH4	1.0063502717792243e0	9.132539144190726e-3	5.536709938650121e-1	6.531650705003431e-1	1e0	2.2983616584090272e-1	3.6685210681006986e-1	1e0	3.6685210681006986e-1	1e0	3.9773028299113205e-3
PPA1	9.986482916658396e-1	-1.9514220844928346e-3	2.2712677585407393e-1	3.795106624485868e-1	1e0	1.2662646062217e-1	2.573057518094441e-1	1e0	2.573057518094441e-1	1e0	-1.1504618762940096e-3
POR	1.0627949164811918e0	8.786323231543194e-2	1e0	1e0	1e0	1.440887560210432e-2	4.473869340227276e-2	8.372544509880712e-1	4.473869340227276e-2	8.372544509880712e-1	1.1855532700122504e-1
FNTA	9.990569390605746e-1	-1.3611912846614362e-3	1.5606341810949037e-1	3.069947907000833e-1	1e0	2.3657329662895282e-1	3.7376619004665496e-1	1e0	3.069947907000833e-1	1e0	-6.981128046281112e-4
ACSL4	1.0619084885461667e0	8.66594452295381e-2	1e0	1e0	1e0	1.5324301896119087e-2	4.8476268984596525e-2	8.454778324619195e-1	4.8476268984596525e-2	8.454778324619195e-1	1.1391131145818574e-1
